'Id', 'UserId', 'Name', 'Date', 'Class', 'TagBased'
'83031', '1534', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83032', '2692', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83033', '5083', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83034', '5412', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83035', '3911', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83036', '72', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83037', '3358', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83038', '5729', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83039', '4257', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83041', '5128', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83042', '6280', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83043', '541', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83044', '3905', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83045', '437', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83046', '1875', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83047', '2846', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83048', '5240', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83049', '3636', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83062', '4421', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83063', '2657', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83064', '3479', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83065', '2686', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83066', '521', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83067', '3063', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83068', '2295', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83069', '2273', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83070', '481', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83071', '3972', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83072', '3978', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83073', '4498', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
